ad_id,asin
133942924438485.00,B09X1F8C
133978966645154.00,B0BNLS6Y
134922925200943.00,B0B31VFJ
135039199186468.00,B09X1F8C
135503219890630.00,B09MR4B1
135596762531753.00,B0BRCY68
135902560708875.00,B0BNL4R8
136109673972075.00,B09MR3XT
136360139084546.00,B0BRCYK4
136655041299203.00,B09MR4Z3
137147153917077.00,B0B31R1Z
137151187640440.00,B09KDVXT
137614481676239.00,B0BNL5LT
139527782125417.00,B09MR6BM
139747415016841.00,B0BRCYV7
140066014081524.00,B0B31SM3
140200462057866.00,B09MR36M
140495241391517.00,B09X1H62
140575029760465.00,B0BRCYQN
140614493328175.00,B09KDRMR
141134628102833.00,B0BNL1RD
141230329513729.00,B0B69DK8
143264097408922.00,B09MR4G7
143399316091445.00,B09KDZQJ
143400351246662.00,B0BG2Z8C
143476010145185.00,B09MR4B1
143632563996534.00,B0BNL43X
143970022678549.00,B09KDYY3
144473328697689.00,B09MR3Y2
144827531214585.00,B0BNL4NX
145321822589120.00,B09KDPXY
145418972846292.00,B0B69SF1
145724287140298.00,B09MR56Q
146105554697986.00,B09KTFXX
146541207913728.00,B09MR4G7
147854003210603.00,B0B69DD2
149404777688815.00,B09MR4D8
149428120883472.00,B0BG2T78
150935925051296.00,B0BRCXXB
150997293264901.00,B09X1H62
151490723998742.00,B0BNL2Z6
151668559441827.00,B0BRCYV7
152193928471309.00,B0B69GN5
152327531499144.00,B0BRCW79
152645532292942.00,B0BNL4S7
153230495940389.00,B0BG2PD3
153811106655811.00,B0BNL4L4
154228015545107.00,B0B69SF1
154730239759856.00,B09MR4Z3
155079262669070.00,B0B31VFJ
155493358309148.00,B0BG2PD3
155534251383514.00,B09X1J3W
155971752587067.00,B09KTFXX
155974017831536.00,B09MR5Q6
156053848458185.00,B09X1H62
156945927624424.00,B0BNL43X
156975815892930.00,B0BT51ZH
157282272001420.00,B09MR4G7
157918325686699.00,B0BG2QXQ
158000232517120.00,B0BSLVXH
158414428063620.00,B0BNL5LC
158460699172190.00,B09KDPXY
158618672229428.00,B0BRCW79
158728950660427.00,B0BRCW79
159054411587490.00,B0BNL424
160848735351566.00,B0BNL2DX
161027014171970.00,B0BRCY8Q
162271924447345.00,B0BG2T78
162311319786094.00,B0B69SF1
162540458054263.00,B09KDW1Y
163784631685050.00,B0BG2PD3
164561850255079.00,B0BRCX2K
165311704666724.00,B0BRCYJ4
165543856049001.00,B0BNL424
166021410730510.00,B09MR5Q6
166255147104036.00,B0BRCXP7
166323076859868.00,B0B69C4G
166551387568556.00,B09MR3RS
168712876264860.00,B0BRCXXB
168982557913355.00,B0BG2T78
169104992516744.00,B0BNL49H
169805151940116.00,B09KTMKD
169958934756514.00,B0BNL3RD
170260631151186.00,B0BNL117
170277027915201.00,B0BNL3L7
171292698385793.00,B0BNKYW3
172839717673868.00,B0BT51ZH
172945879835796.00,B09KTJRH
173857822274038.00,B09MR4B1
173977677852298.00,B0BNL49H
174279663786023.00,B0BRCXQM
174928198407190.00,B0BRCXCX
175540751677419.00,B09MR56Q
175807118081067.00,B0BSLVXH
177474621428178.00,B0BNL5LC
177936907834827.00,B0B69C4G
178179536547389.00,B0BNL68V
178329673288170.00,B0B69DK8
179372356242126.00,B0BNL1MQ
179408721002557.00,B0BRCW2B
179537269552511.00,B0BNKZ88
180866381341089.00,B0BRCXQR
181445486995601.00,B0BNL2DX
182205790924610.00,B0B69GN5
182316147863938.00,B0BNL1J5
182537175609651.00,B09KDQ2B
182573545628722.00,B0B31VFJ
182625266409977.00,B09KDPXY
183216731106513.00,B09MR36M
184343095938847.00,B09MR36M
184524622735372.00,B0BRCXXB
184868737319494.00,B09MR5Q6
